Дата покупки,Наименование продукта,Остаток (до покупок),Количество куплено,Количество стало
,,,,
4.07.26,черника,0,"4,54 кг","4,54 кг"
,пельмени,0,1 уп.,1 уп.
,помидоры,,908 г,908 г
,шоколад,0,"1,5 кг","1,5 кг"
,геркулес,1 уп.,2 уп.,3 уп.
,багет,0,1 шт.,1 шт.
,зелень,0,1 набор,1 набор
,абрикосы,0,8 шт.,8 шт.
,яблоки,0,3 шт.,3 шт.
,картофель,?,745 г,≈1 кг
,черешня,0,"1,85 кг","1,85 кг"
,лук репчатый,3 шт.,3 шт.,6 шт.
,персики,0,8 шт.,8 шт.
,огурчики,0,675 г,675 г
,яйца,4 шт.,12 шт.,16 шт.
,сметана,"≈0,04 л","0,5 л","0,5 л"
,морковь,2 шт.,3 шт.,5 шт.
,фарш,0,1 уп.,1 уп.
,рыба красная,0,4 кус.,4 кус.
,курица для супа,3 кус.,0,3 кус.
11.07,черника,0,"4,54 кг","4,54 кг"
,багет,0,"1,5 шт.","1,5 шт."
,зелень,0,1 набор,1 набор
,абрикосы,0,8 шт.,8 шт.
,персики,0,6 шт.,6 шт.
,яблоки,0,4 шт.,4 шт.
,капуста,0,1 кочан,1 кочан
,черешня,0,"1,43 кг","1,43 кг"
,картофель,?,2 кг,2 кг
,орехи лесные,0,1 уп.,1 уп.
,клубника,0,900 г,900 г
,огурчики,0,825 г,825 г
,кофе растворимый,"0,1 банки",1 банка,"1,1 банки"
,мёд,"0,15 банки",1 банка,"1,15 банки"
,яйца,5 шт.,12 шт.,16 шт.
,молоко,0,1 л,1 л
,сосики,0,1 уп,1 уп.
,курица для супа,0,4 кус.,4 кус.
,курица на второе,0,6 кус.,6 кус.
,рыба красная,0,4 кус.,4 кус.
